Province,YEAR,QUARTER,Quarterly Avg Temp (Â°C),Quarterly Sum Precip (mm),CPI,Excellent_Very_Good,Good,Fair_Poor,Debt_to_Asset_Ratio,Mortgage_Debt_to_Real_Estate_Ratio,Depression,Anxiety,Mental Health Help,Therapy,Stress,Unemplyment Rate
Alberta,2021,2,9.71,76,148.4,41.1,34.3,24.6,0.180576688,0.335439459,0.17,0.35,<1%,0.35,0.13,8.7
Alberta,2021,3,16.42,155,150.7,49,33.6,17.4,0.176848062,0.319558501,0.16,0.36,<1%,0.35,0.13,8.066666667
Alberta,2021,4,-1.49,50,151.6,43.7,31.3,25,0.168750752,0.29873985,0.17,0.35,<1%,0.34,0.14,7.366666667
Alberta,2022,1,-2.69,35,154.6,46.3,32.3,21.4,0.168129461,0.290180429,0.16,0.32,<1%,0.37,0.15,6.6
Alberta,2022,2,8.29,191,159.2,45.9,31.1,23,0.178188351,0.312411129,0.17,0.32,<1%,0.37,0.14,5.733333333
Alberta,2022,3,17.12,106,160.5,49.4,32.6,18,0.181395465,0.326987592,0.15,0.33,<1%,0.38,0.14,5.3
Alberta,2022,4,-2.73,80,161.4,44.7,35.6,19.7,0.178913452,0.331055981,0.16,0.3,<1%,0.4,0.14,5.633333333
Alberta,2023,1,-5.08,66,160.7666667,46.1,33.6,20.2,0.172494331,0.319220723,0.15,0.31,<1%,0.4,0.14,5.9
Alberta,2023,2,11.91,105,164.0666667,47.5,31.7,20.8,0.171209253,0.315901088,0.14,0.3,<1%,0.42,0.14,5.766666667
Alberta,2023,3,16.72,110,166.2666667,50.1,30.5,19.4,0.175378312,0.32394847,0.14,0.33,<1%,0.4,0.13,5.5
British Columbia,2021,2,12.68,105,135.3666667,41.7,35,23.3,0.141264008,0.192792142,0.17,0.34,<1%,0.35,0.14,6.9
British Columbia,2021,3,17.82,193,136.9666667,49.7,32.4,17.9,0.139983642,0.187683966,0.17,0.37,<1%,0.32,0.14,6.366666667
British Columbia,2021,4,5.88,567,138,44.8,31.4,23.8,0.135510642,0.17947033,0.18,0.35,<1%,0.33,0.14,5.466666667
British Columbia,2022,1,5.27,361,140.9333333,42.8,34.2,23,0.135855768,0.176463795,0.18,0.33,<1%,0.35,0.14,5
British Columbia,2022,2,11.58,254,145.6,45.5,32.9,21.6,0.147192949,0.193267771,0.18,0.33,<1%,0.36,0.13,4.666666667
British Columbia,2022,3,17.05,42,147.4666667,49.1,32.1,18.8,0.152355187,0.204276368,0.16,0.33,<1%,0.38,0.13,4.533333333
British Columbia,2022,4,5.66,386,147.9333333,44.6,31.4,24,0.152066493,0.207771453,0.18,0.29,<1%,0.39,0.14,4.4
British Columbia,2023,1,5.13,232,148.9666667,44.8,31.8,23.4,0.147287751,0.201428598,0.18,0.3,<1%,0.39,0.13,4.766666667
British Columbia,2023,2,12.69,134,151,45.1,32.1,22.7,0.146632963,0.199726717,0.16,0.31,<1%,0.39,0.14,5.233333333
British Columbia,2023,3,17.57,89,152.4666667,43,34.2,22.8,0.150878511,0.205847339,0.14,0.31,<1%,0.41,0.14,5.35
Manitoba,2021,2,10.51,83,141.3333333,43.2,33.2,23.6,0.153475284,0.342623243,0.19,0.38,,0.27,0.16,7.233333333
Manitoba,2021,3,18.2,124,143.2,48.2,35.1,16.8,0.151433435,0.327597822,0.19,0.36,,0.3,0.15,5.833333333
Manitoba,2021,4,-2.18,242,144.4333333,46,34.1,19.8,0.144535502,0.30667815,0.2,0.35,,0.28,0.17,5.133333333
Manitoba,2022,1,-14.81,50,147.8,48.8,32.2,19.1,0.144279337,0.296981344,0.18,0.36,<1%,0.3,0.16,4.7
Manitoba,2022,2,8.98,73,153.4,43.9,38.8,17.3,0.153401046,0.319423855,0.2,0.35,,0.3,0.15,4.433333333
Manitoba,2022,3,17.74,8,155.0333333,49.2,34.2,16.7,0.155852326,0.333807371,0.18,0.36,,0.31,0.15,4.5
Manitoba,2022,4,-4.09,17,156.4,46.2,33.1,20.6,0.154331577,0.338666908,0.2,0.31,,0.33,0.16,4.4
Manitoba,2023,1,-12.89,128,156.9333333,46.6,32.1,21.3,0.149594148,0.328526885,0.19,0.33,<1%,0.32,0.16,4.733333333
Manitoba,2023,2,12.57,63,159,46.9,31.1,22,0.149138761,0.324671414,0.17,0.33,,0.34,0.16,4.8
Manitoba,2023,3,17.34,38,159.3333333,42.2,34,23.8,0.153731807,0.333515803,0.16,0.35,,0.34,0.15,5.35
New Brunswick,2021,2,11.66,261,141.0666667,46.9,37.8,15.2,0.169475651,0.273790859,0.21,0.38,,0.24,0.17,9.433333333
New Brunswick,2021,3,17.42,308,142.9333333,51.9,31.5,16.6,0.168638858,0.261507747,0.21,0.41,,0.22,0.16,9.566666667
New Brunswick,2021,4,2.78,173,144.4666667,44.8,35.5,19.7,0.161859992,0.245455736,0.21,0.36,,0.23,0.2,8.466666667
New Brunswick,2022,1,-6.32,218,147.3333333,46.7,35.8,17.5,0.163834013,0.239745877,0.2,0.37,,0.23,0.2,7.7
New Brunswick,2022,2,10.74,291,153.0333333,44.9,34.9,20.1,0.175785825,0.260544401,0.21,0.36,,0.26,0.17,6.866666667
New Brunswick,2022,3,17.71,351,153.5333333,51.7,34.8,13.5,0.18095032,0.27520191,0.19,0.42,,0.25,0.14,6.966666667
New Brunswick,2022,4,3.74,275,154.5666667,41,34.7,24.3,0.181252342,0.281918295,0.22,0.36,<1%,0.25,0.17,7.3
New Brunswick,2023,1,-4.64,176,155.4333333,44.3,35.2,20.5,0.177583657,0.275054563,0.2,0.36,,0.26,0.18,6.333333333
New Brunswick,2023,2,10.59,284,157.4333333,47.6,35.7,16.7,0.178062717,0.27396046,0.18,0.35,,0.29,0.18,6.4
New Brunswick,2023,3,17.52,448,158.8333333,46.6,31.8,21.6,0.173281645,0.264335957,0.18,0.37,,0.27,0.18,7.45
Newfoundland and Labrador,2021,2,7.62,406,144.0666667,46.6,37.2,16.2,0.157803144,0.314508765,0.18,0.45,,0.21,0.16,13
Newfoundland and Labrador,2021,3,15.14,276,145.7333333,57,30.2,12.8,0.155591643,0.299498448,0.19,0.42,,0.22,0.17,13.46666667
Newfoundland and Labrador,2021,4,3.78,480,146.6666667,52.5,29.4,18.1,0.148205209,0.280799949,0.22,0.42,,0.21,0.15,12.23333333
Newfoundland and Labrador,2022,1,-2,557,149.6666667,49.8,34.5,15.7,0.148619812,0.272645503,0.18,0.41,,0.23,0.18,13.2
Newfoundland and Labrador,2022,2,6.88,345,155,52,29,19,0.157972365,0.294921456,0.21,0.42,,0.21,0.16,10.66666667
Newfoundland and Labrador,2022,3,17.17,440,155.1666667,50.2,31.2,18.6,0.159936205,0.306990777,0.2,0.37,,0.27,0.16,10.53333333
Newfoundland and Labrador,2022,4,4.77,338,155.9333333,46.9,32.3,20.8,0.158415183,0.3120243,0.2,0.38,,0.25,0.17,10.16666667
Newfoundland and Labrador,2023,1,-3.26,398,156.7666667,48.4,32.8,18.8,0.154092482,0.303732238,0.18,0.38,,0.28,0.16,10.46666667
Newfoundland and Labrador,2023,2,5.52,296,158.5666667,49.9,33.4,16.7,0.153809625,0.301826794,0.19,0.36,,0.28,0.17,9.7
Newfoundland and Labrador,2023,3,16.74,302,160.5333333,50.6,30.5,19,0.157788541,0.308871022,0.19,0.41,,0.24,0.16,9
Nova Scotia,2021,2,11.13,310,142.8666667,47,29.3,23.7,0.129937015,0.23035694,0.2,0.4,,0.24,0.16,9.2
Nova Scotia,2021,3,17.5,419,144.4333333,50.8,30,19.2,0.129470736,0.22310206,0.17,0.43,,0.24,0.16,8.133333333
Nova Scotia,2021,4,4.86,422,145.7666667,37.6,36.7,25.7,0.127206828,0.215229316,0.19,0.37,<1%,0.27,0.17,8.033333333
Nova Scotia,2022,1,-3.01,481,149.1333333,39,36.6,24.4,0.128805558,0.211809119,0.2,0.37,,0.28,0.15,6.866666667
Nova Scotia,2022,2,10.26,322,154.8666667,46.2,30.1,23.7,0.138597126,0.231600386,0.19,0.36,,0.29,0.16,6.533333333
Nova Scotia,2022,3,19,286,155.8666667,51.1,29,19.9,0.142458627,0.24581443,0.19,0.36,,0.3,0.15,6.7
Nova Scotia,2022,4,5.98,376,157.3333333,41.6,38.2,20.2,0.142678606,0.252893961,0.2,0.34,,0.29,0.17,6.266666667
Nova Scotia,2023,1,-2.19,336,158.0333333,42.4,34,23.7,0.139324918,0.24744902,0.19,0.36,,0.29,0.16,5.7
Nova Scotia,2023,2,10.05,301,159.1666667,43.1,29.8,27.2,0.13908871,0.245781184,0.18,0.35,<1%,0.31,0.16,6.366666667
Nova Scotia,2023,3,19,525,162.6,37.3,38.7,24,0.144282081,0.255062523,0.17,0.36,,0.31,0.16,6.95
Ontario,2021,2,14.74,152,142.5,38.7,36.7,24.7,0.141716645,0.218870026,0.18,0.38,<1%,0.28,0.16,9.2
Ontario,2021,3,21.2,249,144.0666667,48.3,31.1,20.6,0.142111138,0.214150525,0.18,0.37,<1%,0.28,0.17,7.666666667
Ontario,2021,4,7.17,228,145.9,45.8,32.1,22,0.138567053,0.204846048,0.19,0.35,<1%,0.29,0.17,6.5
Ontario,2022,1,-2.51,180,149,44.9,33.6,21.5,0.140020514,0.202427775,0.18,0.33,<1%,0.31,0.18,6.166666667
Ontario,2022,2,14.31,135,153.2333333,45.6,31.7,22.7,0.152374572,0.222325554,0.19,0.33,<1%,0.31,0.17,5.366666667
Ontario,2022,3,21.3,182,154.2666667,52.1,31.5,16.4,0.158184188,0.235969993,0.18,0.34,<1%,0.33,0.15,5.333333333
Ontario,2022,4,5.89,229,155.1333333,44.6,32.4,23,0.158862084,0.241496292,0.19,0.32,<1%,0.32,0.17,5.466666667
Ontario,2023,1,0.73,243,156.4666667,45,33,22,0.155027667,0.235600836,0.17,0.32,<1%,0.34,0.17,5.2
Ontario,2023,2,14.54,258,158.2666667,45.3,33.5,21.1,0.15523538,0.234498206,0.17,0.3,<1%,0.37,0.16,5.366666667
Ontario,2023,3,20.93,153,159.7333333,44.1,33.8,22.1,0.158687295,0.239853215,0.16,0.31,<1%,0.37,0.16,5.85
Prince Edward Island,2021,2,9.9,278,144.0666667,48.7,33.1,18.1,0.136650797,0.215418361,0.19,0.41,,0.26,0.14,10.86666667
Prince Edward Island,2021,3,18.12,393,146.8333333,52.1,31.4,16.4,0.137451258,0.210524042,0.15,0.47,,0.22,0.16,11.03333333
Prince Edward Island,2021,4,4.5,318,147.7333333,52.2,29.7,18.1,0.137005392,0.206407233,0.21,0.37,,0.25,0.17,9
Prince Edward Island,2022,1,-4.38,399,151.8333333,53.2,31.7,15.1,0.139460335,0.204278761,0.2,0.4,,0.26,0.14,9.333333333
Prince Edward Island,2022,2,9.03,255,158.9333333,49.8,32.5,17.7,0.151232639,0.224158606,0.2,0.39,,0.22,0.19,7.366666667
Prince Edward Island,2022,3,17.5,341,159.6333333,56.7,31,12.2,0.156608286,0.237933181,0.2,0.42,,0.24,0.14,7.5
Prince Edward Island,2022,4,5.15,265,160.6,47,32.5,20.6,0.158227408,0.245349275,0.19,0.38,,0.27,0.16,6.433333333
Prince Edward Island,2023,1,-3.66,282,160.7333333,44.3,34.4,21.4,0.156195286,0.241837969,0.18,0.37,,0.3,0.15,7
Prince Edward Island,2023,2,8.95,205,161.3333333,41.6,36.2,22.2,0.157313052,0.242055043,0.17,0.35,,0.27,0.21,7.533333333
Prince Edward Island,2023,3,18.73,389,164.1,48.8,33.7,17.5,0.163442015,0.251930886,0.17,0.41,,0.3,0.12,7.35
Quebec,2021,2,14.87,172,137.0666667,53,34.3,12.7,0.130916372,0.259851032,0.26,0.23,,0.17,0.34,6.5
Quebec,2021,3,20.5,151,138.8,62,29.2,8.7,0.130523448,0.25145328,0.26,0.25,,0.18,0.31,5.933333333
Quebec,2021,4,3.91,243,140.3,58.9,30,11.1,0.125616068,0.237217877,0.26,0.24,,0.18,0.32,4.8
Quebec,2022,1,-7.26,210,142.7333333,55.8,31.1,13,0.126173876,0.231947019,0.27,0.23,<1%,0.17,0.33,4.533333333
Quebec,2022,2,13.82,352,147.2666667,56.8,31.8,11.3,0.135557149,0.252177434,0.25,0.22,,0.17,0.36,4.366666667
Quebec,2022,3,19.66,290,148.5,67.6,24,8.4,0.139794236,0.267833565,0.24,0.25,,0.2,0.31,4.266666667
Quebec,2022,4,4.58,239,149.4333333,59.1,28.6,12.3,0.138670861,0.272508716,0.26,0.21,,0.2,0.33,3.966666667
Quebec,2023,1,-3.66,187,150.6,59.2,29.3,11.6,0.134274673,0.264347619,0.26,0.21,,0.19,0.34,4.2
Quebec,2023,2,13.86,200,153.3666667,59.2,30,10.8,0.133703368,0.261934453,0.22,0.21,,0.23,0.34,4.2
Quebec,2023,3,20.34,323,155.0666667,55.8,32,12.3,0.138160525,0.270982046,0.22,0.23,,0.22,0.33,4.45
Saskatchewan,2021,2,11.22,70,143.8,42.3,35.9,21.8,0.14701061,0.329373608,0.2,0.36,,0.29,0.15,6.566666667
Saskatchewan,2021,3,17.99,47,145,48.6,35,16.4,0.144293294,0.313194805,0.19,0.4,,0.27,0.14,6.633333333
Saskatchewan,2021,4,-3.53,23,146.2666667,47.2,32.1,20.7,0.137954673,0.293654178,0.19,0.36,,0.3,0.15,5.666666667
Saskatchewan,2022,1,-7.8,24,149.4333333,46.9,34.1,18.9,0.137695364,0.284335404,0.18,0.36,<1%,0.3,0.16,4.966666667
Saskatchewan,2022,2,10.04,97,153.8666667,47.4,32.9,19.6,0.146322462,0.307067237,0.19,0.34,,0.32,0.15,4.6
Saskatchewan,2022,3,19.09,40,155.6333333,45.6,41.7,12.7,0.147568135,0.319511292,0.18,0.36,,0.32,0.14,4.3
Saskatchewan,2022,4,-5.88,61,156.8333333,41.8,35.2,23,0.144942377,0.323194091,0.19,0.34,,0.32,0.15,4.533333333
Saskatchewan,2023,1,-10.33,7,157.7,43.3,36.1,20.6,0.139420173,0.311252147,0.18,0.32,,0.35,0.15,4.433333333
Saskatchewan,2023,2,12.18,55,160.4333333,44.8,37,18.2,0.138300109,0.307047546,0.18,0.32,<1%,0.35,0.15,4.566666667
Saskatchewan,2023,3,17.95,48,161.3,49.5,31.1,19.4,0.141442603,0.313504967,0.16,0.35,,0.34,0.15,5.1
